
"josh lid the Hunter","Alcatraz",:18	","897/1012",:$"5,"+55"
"Lord Fluffy Slippers","The Arc",:45	","1287/2303",:$"5,"+286"
"Cllc","The Arc",:72	","2391/4484",:$"5,"+206"
"Frederick 1912 the Sly","Castel del Monte",:64	","2623/2656",:$"5,"+23"
"Michael is Blessed","Atlantis Museum",:18	","1398/1414",:$"5,"+221"
"LLC Gold","Cape Canaveral",:44	","1206/2038",:$"5,"+271"
"Lord Old Man","Hagia Sophia",:91	","4425/4434",:$"5,"+25"
"BasilRathbone","Statue of Zeus",:12	","523/536",:$"5,"+10"
"JuggysAngel","chateaufrontenac",:12	","838/873",:$"5,"+19"
"OldGold","The Arc",:31	","1334/1630",:$"5,"+15"
"Arthur 411 the Sly","Cathedral of Aachen",:18	","119/732",:$"5,"+169"
"Arthur 411 the Sly","Truce Tower",:8	","680/710",:$"5,"+93"
"ELod the Illusionist","Cathedral of Aachen",:18	","501/732",:$"5,"+15"
"Beatrix the Brave","Castel del Monte",:68	","1398/2932",:$"5,"-1178"
"REALLY OLD PERSON","The Arc",:38	","1545/1937",:$"5,"+137"
"Number 14","Star Gazer",:17	","1248/1486",:$"5,"+35"
"mabak","The Arc",:32	","1591/1670",:$"5,"+63"
"The German Shepherd","Space Carrier",:26	","1542/1930",:$"5,"+10"
"The German Shepherd","Castel del Monte",:71	","3113/3157",:$"5,"+56"
"nightshift2975","The Arc",:21	","1055/1273",:$"5,"+74"
"Surf Fish","Castel del Monte",:89	","3163/4924",:$"5,"+70"
"nukewarrior","Himeji Castle",:40	","1984/2539",:$"5,"+17"
"Jessia","The Arc",:46	","1776/2360",:$"5,"+160"
"Jameson the Impaler","Galata Tower",:23	","683/897",:$"5,"+12"
"Below Zero","chateaufrontenac",:48	","1691/2122",:$"5,"+25"
"Kthomas88","Himeji Castle",:34	","1219/2189",:$"5,"+46"
"Lord Vinz","Castel del Monte",:34	","984/1267",:$"5,"+16"
"Doc Holiday 2020","The Arc",:71	","3576/4375",:$"5,"+134"
"ms.maggie","Castel del Monte",:49	","1228/1834",:$"5,"+64"
"Hercus the Bold","Lighthouse of Alexandria",:23	","736/759",:$"5,"+36"
"JamesDevon","The Arc",:66	","3538/3867",:$"5,"+168"
"DeFrance","Temple of Relics",:31	","1073/1092",:$"5,"+18"
"Kristovfer","Arctic Orangery",:11	","1023/1138",:$"5,"+16"
"Kristovfer","Cape Canaveral",:27	","1113/1340",:$"5,"+89"
"Amberle the Wise","Alcatraz",:70	","2315/3652",:$"5,"+80"
"Wombatticus","Saint Basil's Cathedral",:19	","840/875",:$"5,"+8"
"wpoehls","Statue of Zeus",:24	","477/721",:$"5,"+8"
"Hercus the Bold","Saint Basil's Cathedral",:18	","649/853",:$"5,"+53"
"1 COOL JUGGERNAUT","Castel del Monte",:21	","912/919",:$"5,"+3"
